column,dtype,missing_count,missing_pct,n_unique,min,max
HighBP,int64,0,0.0,2,0,1
HighChol,int64,0,0.0,2,0,1
CholCheck,int64,0,0.0,2,0,1
BMI,int64,0,0.0,84,12,98
Smoker,int64,0,0.0,2,0,1
Stroke,int64,0,0.0,2,0,1
HeartDiseaseorAttack,int64,0,0.0,2,0,1
PhysActivity,int64,0,0.0,2,0,1
Fruits,int64,0,0.0,2,0,1
Veggies,int64,0,0.0,2,0,1
HvyAlcoholConsump,int64,0,0.0,2,0,1
AnyHealthcare,int64,0,0.0,2,0,1
NoDocbcCost,int64,0,0.0,2,0,1
GenHlth,int64,0,0.0,5,1,5
MentHlth,int64,0,0.0,31,0,30
PhysHlth,int64,0,0.0,31,0,30
DiffWalk,int64,0,0.0,2,0,1
Sex,int64,0,0.0,2,0,1
Age,int64,0,0.0,13,1,13
Education,int64,0,0.0,6,1,6
Income,int64,0,0.0,8,1,8
Diabetes_binary,int64,0,0.0,2,0,1
