Feature,Importance,Rank
HighBP,0.34564893672005387,1.0
GenHlth,0.2871012885332897,2.0
BMI,0.12087697349133893,3.0
Age,0.10520461582547727,4.0
HighChol,0.06492706242115662,5.0
HeartDiseaseorAttack,0.01593575594704268,6.0
Income,0.013029394934508018,7.0
DiffWalk,0.011491942366817762,8.0
HvyAlcoholConsump,0.01013050133315787,9.0
CholCheck,0.008672183226512704,10.0
Sex,0.008172673782907487,11.0
Education,0.0019393840564456762,12.0
MentHlth,0.0017379748079189247,13.0
PhysHlth,0.0016872297763866665,14.0
Stroke,0.0016129399236876343,15.0
Fruits,0.0005491353669366765,16.0
Smoker,0.0004977835891309332,17.0
PhysActivity,0.0004064042931368464,18.0
AnyHealthcare,0.00022522517317805419,19.0
NoDocbcCost,8.522249642190996e-05,20.0
Veggies,6.737193449383593e-05,21.0
