Feature,MeanAbsSHAP
GenHlth,0.5614633434592415
Age,0.41068158606125693
BMI,0.3978166753566963
HighBP,0.3411125301929942
HighChol,0.2637992541027325
Income,0.14301601613721737
Sex,0.12283214300025842
HvyAlcoholConsump,0.08676304452581919
CholCheck,0.07271607665569808
HeartDiseaseorAttack,0.0659941924540792
MentHlth,0.04500222429240828
DiffWalk,0.04401465410250935
Education,0.0335312530658246
Fruits,0.018235526220613977
Stroke,0.017885128167688384
PhysActivity,0.016569797419468246
PhysHlth,0.011549112323549621
Smoker,0.008379816011831858
AnyHealthcare,0.002353446380258536
Veggies,0.002085544144471656
NoDocbcCost,0.0011390529624652047
