Feature,Coefficient,AbsCoefficient,OddsRatio
CholCheck,1.3044976897856668,1.3044976897856668,3.68583719495873
HvyAlcoholConsump,-0.7546311216259532,0.7546311216259532,0.47018402346328386
HighBP,0.7366041623521075,0.7366041623521075,2.08883012896264
HighChol,0.5813412894818285,0.5813412894818285,1.7884356326228168
GenHlth,0.5785761092318689,0.5785761092318689,1.7834971168230895
BMI,0.49047012482296415,0.49047012482296415,1.6330837927426802
Sex,0.2803976609132987,0.2803976609132987,1.323656073976931
HeartDiseaseorAttack,0.2502790097789484,0.2502790097789484,1.2843837223184786
Stroke,0.18908928915789755,0.18908928915789755,1.2081488222579837
Age,0.14973907077852494,0.14973907077852494,1.1615311257716006
DiffWalk,0.09957851031254909,0.09957851031254909,1.1047051980857894
Fruits,-0.07221951668075076,0.07221951668075076,0.9303266511759936
AnyHealthcare,0.06375874452011883,0.06375874452011883,1.0658352291512805
PhysHlth,-0.05801495388675727,0.05801495388675727,0.9436358363078544
Income,-0.05764003173568381,0.05764003173568381,0.943989692615572
NoDocbcCost,0.047479341602897476,0.047479341602897476,1.0486245379954058
PhysActivity,-0.045374588915831474,0.045374588915831474,0.955639442835749
Education,-0.03808971148942958,0.03808971148942958,0.9626265783532929
MentHlth,-0.0325521783977108,0.0325521783977108,0.9679719412886646
Veggies,-0.018587486279097974,0.018587486279097974,0.9815841956863314
Smoker,0.00426550331418487,0.00426550331418487,1.0042746135220482
