Feature,Importance,Rank
GenHlth,0.1657251849887723,1.0
BMI,0.1566473055640497,2.0
HighBP,0.135017394873567,3.0
Age,0.11601382143830818,4.0
Income,0.06197857569041089,5.0
HighChol,0.060393563046586156,6.0
PhysHlth,0.05361616732962865,7.0
MentHlth,0.037464033462565244,8.0
Education,0.03696407511383684,9.0
DiffWalk,0.03650170204314158,10.0
HeartDiseaseorAttack,0.021925997244956065,11.0
Sex,0.0191857472469958,12.0
Smoker,0.019100701094868763,13.0
Fruits,0.01834877710680937,14.0
PhysActivity,0.01673274579680197,15.0
Veggies,0.013069708562446401,16.0
HvyAlcoholConsump,0.008820425793879224,17.0
NoDocbcCost,0.006493498798177788,18.0
CholCheck,0.00631480273987944,19.0
Stroke,0.005831089811532884,20.0
AnyHealthcare,0.0038546822527857584,21.0
