Feature,RF_Importance,RF_Rank,GB_Importance,GB_Rank,Average_Rank
GenHlth,0.1657251849887723,1.0,0.2871012885332897,2.0,1.5
HighBP,0.135017394873567,3.0,0.34564893672005387,1.0,2.0
BMI,0.1566473055640497,2.0,0.12087697349133893,3.0,2.5
Age,0.11601382143830818,4.0,0.10520461582547727,4.0,4.0
HighChol,0.060393563046586156,6.0,0.06492706242115662,5.0,5.5
Income,0.06197857569041089,5.0,0.013029394934508018,7.0,6.0
HeartDiseaseorAttack,0.021925997244956065,11.0,0.01593575594704268,6.0,8.5
DiffWalk,0.03650170204314158,10.0,0.011491942366817762,8.0,9.0
PhysHlth,0.05361616732962865,7.0,0.0016872297763866665,14.0,10.5
MentHlth,0.037464033462565244,8.0,0.0017379748079189247,13.0,10.5
Education,0.03696407511383684,9.0,0.0019393840564456762,12.0,10.5
Sex,0.0191857472469958,12.0,0.008172673782907487,11.0,11.5
HvyAlcoholConsump,0.008820425793879224,17.0,0.01013050133315787,9.0,13.0
CholCheck,0.00631480273987944,19.0,0.008672183226512704,10.0,14.5
Smoker,0.019100701094868763,13.0,0.0004977835891309332,17.0,15.0
Fruits,0.01834877710680937,14.0,0.0005491353669366765,16.0,15.0
PhysActivity,0.01673274579680197,15.0,0.0004064042931368464,18.0,16.5
Stroke,0.005831089811532884,20.0,0.0016129399236876343,15.0,17.5
Veggies,0.013069708562446401,16.0,6.737193449383593e-05,21.0,18.5
NoDocbcCost,0.006493498798177788,18.0,8.522249642190996e-05,20.0,19.0
AnyHealthcare,0.0038546822527857584,21.0,0.00022522517317805419,19.0,20.0
